departure region,arrival region
'America/Fortaleza','America/Fortaleza'
'Asia/Karachi','Asia/Riyadh'
'Asia/Bishkek','Asia/Riyadh'
'Asia/Shanghai','Asia/Shanghai'
'Australia/Melbourne','Australia/Brisbane'
'Asia/Seoul','America/Anchorage'
'Asia/Ho_Chi_Minh','Asia/Seoul'
'Asia/Ho_Chi_Minh','Asia/Tokyo'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Kuala_Lumpur','Asia/Taipei'
'Australia/Melbourne','Australia/Perth'
'Australia/Melbourne','Australia/Perth'
'Asia/Colombo','Asia/Singapore'
'Australia/Sydney','Australia/Sydney'
'Australia/Sydney','Australia/Adelaide'
'Australia/Sydney','Australia/Sydney'
'Australia/Sydney','Australia/Sydney'
'Asia/Singapore','Australia/Brisbane'
'Asia/Singapore','Asia/Manila'
'Asia/Singapore','Asia/Kolkata'
'Asia/Singapore','Asia/Seoul'
'Asia/Singapore','Asia/Shanghai'
'Asia/Singapore','Australia/Perth'
'Asia/Singapore','Australia/Melbourne'
'Asia/Singapore','Asia/Manila'
'Asia/Singapore','Asia/Taipei'
'Asia/Seoul','Asia/Ho_Chi_Minh'
'Pacific/Auckland','Pacific/Auckland'
'Asia/Seoul','Asia/Ho_Chi_Minh'
'Asia/Tokyo','Asia/Hong_Kong'
'Asia/Tokyo','Asia/Manila'
'Pacific/Auckland','Pacific/Auckland'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Pacific/Auckland','Pacific/Auckland'
'Asia/Jakarta','Asia/Jayapura'
'Asia/Dushanbe','Asia/Novosibirsk'
'Asia/Manila','Asia/Shanghai'
'Asia/Bangkok','Asia/Tokyo'
'Asia/Bangkok','Asia/Tokyo'
'Pacific/Auckland','Pacific/Auckland'
'Australia/Melbourne','Asia/Hong_Kong'
'Asia/Tokyo','Asia/Ho_Chi_Minh'
'Pacific/Auckland','Pacific/Auckland'
'Asia/Bangkok','Asia/Shanghai'
'Pacific/Auckland','Australia/Melbourne'
'Asia/Kuala_Lumpur','Australia/Perth'
'Asia/Dhaka','Asia/Hong_Kong'
'Australia/Perth','Australia/Melbourne'
'Australia/Adelaide','Australia/Brisbane'
'Australia/Melbourne','Asia/Manila'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Kuala_Lumpur','Asia/Dhaka'
'Asia/Taipei','Asia/Seoul'
'Asia/Bangkok','Asia/Seoul'
'Asia/Seoul','Asia/Ho_Chi_Minh'
'Asia/Hong_Kong','Asia/Seoul'
'Pacific/Auckland','Pacific/Auckland'
'Australia/Melbourne','Asia/Hong_Kong'
'Asia/Ho_Chi_Minh','Asia/Taipei'
'Asia/Hong_Kong','Asia/Seoul'
'Australia/Brisbane','Asia/Hong_Kong'
'Australia/Brisbane','Asia/Hong_Kong'
'Australia/Brisbane','Asia/Hong_Kong'
'Australia/Brisbane','Asia/Hong_Kong'
'Australia/Brisbane','Asia/Hong_Kong'
'Australia/Brisbane','Asia/Hong_Kong'
'Asia/Jakarta','Asia/Makassar'
'Asia/Shanghai','Asia/Shanghai'
'Pacific/Guam','Asia/Seoul'
'Pacific/Guam','Asia/Seoul'
'Pacific/Guam','Asia/Seoul'
'Asia/Kolkata','Asia/Singapore'
'Asia/Kolkata','Asia/Ho_Chi_Minh'
'Asia/Kolkata','Asia/Ho_Chi_Minh'
'Asia/Kolkata','Asia/Ho_Chi_Minh'
'Asia/Kolkata','Asia/Ho_Chi_Minh'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Australia/Sydney','Australia/Perth'
'Asia/Ho_Chi_Minh','Asia/Tokyo'
'Asia/Ho_Chi_Minh','Asia/Tokyo'
'Asia/Ho_Chi_Minh','Asia/Tokyo'
'Asia/Taipei','Asia/Seoul'
'Asia/Bangkok','Asia/Shanghai'
'Asia/Kolkata','Asia/Ho_Chi_Minh'
'Asia/Kolkata','Asia/Ho_Chi_Minh'
'Pacific/Auckland','Australia/Melbourne'
'Australia/Darwin','Australia/Sydney'
'Australia/Darwin','Australia/Sydney'
'Asia/Manila','Asia/Seoul'
'Asia/Jakarta','Asia/Manila'
'Asia/Hong_Kong','Asia/Seoul'
'Asia/Ho_Chi_Minh','Asia/Tokyo'
'Asia/Tokyo','Asia/Seoul'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Bangkok','Asia/Tokyo'
'Asia/Bangkok','Asia/Tokyo'
None,'+8'
'Australia/Brisbane','Australia/Brisbane'
'Australia/Darwin','Australia/Darwin'
'Asia/Shanghai','Asia/Shanghai'
'Australia/Perth','Australia/Perth'
'Asia/Tokyo','Asia/Tokyo'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Europe/Madrid','Europe/Zurich'
'Europe/Stockholm','Atlantic/Canary'
'Australia/Brisbane','Australia/Brisbane'
'Asia/Tokyo','Asia/Tokyo'
'Australia/Sydney','Australia/Brisbane'
'Australia/Sydney','Australia/Brisbane'
'Asia/Shanghai','Asia/Shanghai'
None,'Asia/Shanghai'
'Asia/Dubai','Asia/Kathmandu'
'Asia/Dubai','Europe/Berlin'
'Asia/Dubai','Europe/Paris'
'Asia/Dubai','Europe/Stockholm'
'Asia/Dubai','Europe/Paris'
'Asia/Dubai','Asia/Kathmandu'
'Asia/Dubai','Africa/Cairo'
'Asia/Dubai','Africa/Cairo'
'Asia/Dubai','Africa/Cairo'
'Asia/Dubai','Europe/Tirane'
'Asia/Manila','Asia/Manila'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Australia/Melbourne','Pacific/Auckland'
'Asia/Jakarta','Asia/Makassar'
'Australia/Perth','Australia/Perth'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Europe/Berlin','Europe/Oslo'
'Europe/Madrid','Europe/Madrid'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Europe/London','Europe/Brussels'
'Asia/Bangkok','Asia/Bangkok'
'Asia/Bangkok','Asia/Bangkok'
None,'Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Kolkata','Asia/Kolkata'
'Australia/Adelaide','Australia/Perth'
'Australia/Adelaide','Australia/Perth'
'Australia/Adelaide','Australia/Perth'
'Australia/Adelaide','Australia/Darwin'
'Australia/Adelaide','Australia/Brisbane'
None,'Asia/Shanghai'
'America/Tegucigalpa','America/New_York'
'Europe/Warsaw','Asia/Muscat'
'Australia/Perth','Australia/Hobart'
'Australia/Perth','Australia/Hobart'
'Australia/Perth','Australia/Perth'
'Australia/Perth','Australia/Adelaide'
'Australia/Melbourne','Australia/Perth'
'Asia/Dubai','Europe/Dublin'
'Asia/Dubai','Europe/London'
'Asia/Dubai','Europe/London'
'Asia/Dubai','Europe/Moscow'
'Asia/Dubai','Europe/London'
'Asia/Dubai','Europe/London'
'Asia/Dubai','Africa/Casablanca'
'Asia/Dubai','Africa/Casablanca'
'Asia/Dubai','Europe/Rome'
'Asia/Dubai','Europe/Oslo'
'Asia/Qatar','Africa/Johannesburg'
'Asia/Qatar','Africa/Johannesburg'
'Asia/Qatar','Africa/Johannesburg'
'Asia/Qatar','Africa/Johannesburg'
'Asia/Qatar','Africa/Johannesburg'
'Asia/Qatar','Africa/Johannesburg'
'Asia/Qatar','Africa/Johannesburg'
'Asia/Qatar','Africa/Johannesburg'
'Asia/Qatar','Africa/Johannesburg'
'Asia/Qatar','Africa/Johannesburg'
'Asia/Qatar','Africa/Johannesburg'
'Australia/Darwin','Australia/Darwin'
'Asia/Shanghai','Asia/Shanghai'
None,'Asia/Shanghai'
'Europe/Warsaw','Europe/Oslo'
'Europe/Berlin','Europe/Warsaw'
'Europe/Berlin','Europe/Warsaw'
'Europe/Berlin','Europe/Warsaw'
'Europe/Berlin','Europe/Warsaw'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Europe/Zurich','Africa/Cairo'
'Europe/Zurich','Africa/Cairo'
'Europe/Rome','Europe/Rome'
'Europe/Rome','Europe/Rome'
'Australia/Brisbane','Pacific/Noumea'
'Asia/Novosibirsk','Europe/Moscow'
'Asia/Novosibirsk','Europe/Moscow'
'Asia/Tokyo','Asia/Tokyo'
'Asia/Tokyo','Asia/Tokyo'
None,'Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Seoul','Asia/Seoul'
'Asia/Seoul','Asia/Seoul'
'Asia/Seoul','Asia/Seoul'
'Asia/Shanghai','Asia/Shanghai'
'Europe/Madrid','Asia/Qatar'
'Europe/Madrid','Asia/Qatar'
'Europe/Madrid','Asia/Qatar'
'Europe/Madrid','Asia/Qatar'
'Europe/Madrid','Europe/Madrid'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Riyadh','Asia/Dushanbe'
'Africa/Lagos','Africa/Lagos'
'Europe/Zurich','Europe/Berlin'
'Europe/Zurich','Europe/Berlin'
'Europe/Zurich','Europe/Berlin'
'Europe/London','Europe/London'
'Europe/Stockholm','Atlantic/Canary'
'America/New_York','America/Anchorage'
'Asia/Singapore','Asia/Bangkok'
'Asia/Singapore','Asia/Ho_Chi_Minh'
'Asia/Singapore','Asia/Shanghai'
'Asia/Singapore','Asia/Jakarta'
'Asia/Nicosia','Europe/Athens'
'Asia/Nicosia','Europe/Athens'
'Asia/Nicosia','Europe/Athens'
'Asia/Nicosia','Asia/Amman'
'Asia/Shanghai','Asia/Shanghai'
'Europe/Istanbul',None
'Asia/Bangkok','Asia/Phnom_Penh'
'Asia/Tokyo','Asia/Tokyo'
'Europe/Rome','Europe/Istanbul'
'Europe/Rome','Europe/Istanbul'
'Europe/Rome','Europe/Istanbul'
'Australia/Sydney','Australia/Melbourne'
'Asia/Shanghai','+8'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Europe/London','Europe/Rome'
'Europe/London','Europe/Rome'
'Europe/Amsterdam','Europe/Rome'
'Europe/Amsterdam','Europe/Rome'
'Europe/Amsterdam','Europe/Rome'
'Europe/Amsterdam','Europe/Rome'
'Europe/Amsterdam','Europe/Rome'
'America/Chicago','America/Chicago'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
'Europe/Copenhagen','Asia/Dubai'
'Europe/Copenhagen','Europe/Copenhagen'
'Asia/Shanghai','Asia/Shanghai'
'America/New_York','America/Toronto'
'America/Puerto_Rico','America/Chicago'
'America/Sao_Paulo','America/Sao_Paulo'
'Asia/Shanghai',None
'America/Lima','America/Lima'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Europe/Madrid','Europe/Rome'
'Europe/Madrid','Europe/Rome'
'Europe/Madrid','Europe/Rome'
'Europe/London','+1'
'Australia/Sydney','Australia/Sydney'
'Asia/Tokyo','Asia/Shanghai'
'Asia/Shanghai','Asia/Manila'
'Asia/Singapore','Australia/Perth'
'Asia/Singapore','Australia/Perth'
'Asia/Singapore','Australia/Perth'
'Asia/Singapore','Australia/Perth'
'Asia/Singapore','Australia/Perth'
'Asia/Singapore','Australia/Perth'
'Asia/Tokyo','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Pacific/Noumea','Asia/Tokyo'
'Pacific/Noumea','Asia/Tokyo'
'Pacific/Noumea','Asia/Tokyo'
'Asia/Tokyo','Asia/Manila'
'Asia/Tokyo','Asia/Manila'
'Asia/Tokyo','Asia/Seoul'
'Asia/Kuala_Lumpur','Asia/Taipei'
'Asia/Tokyo','Asia/Seoul'
'Pacific/Auckland','Pacific/Auckland'
'Asia/Ho_Chi_Minh','Asia/Seoul'
'Asia/Shanghai','Asia/Ho_Chi_Minh'
'Asia/Vladivostok','+8'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Hong_Kong','Asia/Seoul'
'Asia/Seoul','Asia/Ho_Chi_Minh'
'Asia/Singapore','Asia/Shanghai'
'Asia/Singapore','Australia/Melbourne'
'Asia/Makassar','Asia/Tokyo'
'Pacific/Apia','Australia/Brisbane'
'Asia/Seoul','Asia/Manila'
'Asia/Manila','Australia/Perth'
'Asia/Manila','Asia/Seoul'
'Pacific/Auckland','Australia/Sydney'
'Asia/Manila','Asia/Seoul'
'Asia/Manila','Asia/Seoul'
'Asia/Hong_Kong','Asia/Seoul'
'Asia/Tokyo','Asia/Bangkok'
'Asia/Shanghai','+8'
'Asia/Jakarta','Asia/Manila'
'Asia/Shanghai','Asia/Ho_Chi_Minh'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Pacific/Auckland','Australia/Sydney'
'Pacific/Auckland','Australia/Sydney'
'Pacific/Auckland','Australia/Sydney'
'Pacific/Auckland','Australia/Sydney'
'Pacific/Auckland','Australia/Sydney'
'Pacific/Auckland','Australia/Sydney'
'Pacific/Auckland','Australia/Sydney'
'Asia/Hong_Kong','Asia/Seoul'
'Asia/Shanghai','Asia/Shanghai'
'Pacific/Auckland','Australia/Melbourne'
'Pacific/Auckland','Pacific/Auckland'
'Pacific/Auckland','Pacific/Auckland'
'Pacific/Auckland','Pacific/Auckland'
'Pacific/Auckland','Pacific/Auckland'
'Asia/Makassar','Asia/Tokyo'
'Asia/Makassar','Asia/Tokyo'
'Asia/Makassar','Asia/Tokyo'
'Asia/Makassar','Asia/Shanghai'
'Asia/Makassar','Asia/Shanghai'
'Asia/Makassar','Asia/Manila'
'Asia/Makassar','Asia/Manila'
'Asia/Hong_Kong','Asia/Shanghai'
'Asia/Ho_Chi_Minh','Asia/Seoul'
'Asia/Hong_Kong','Asia/Seoul'
'Asia/Hong_Kong','Asia/Seoul'
'Asia/Hong_Kong','Asia/Seoul'
'Asia/Jakarta','Asia/Jayapura'
'Asia/Singapore','Asia/Manila'
'Asia/Manila','Asia/Seoul'
'Asia/Manila','Asia/Seoul'
'Asia/Shanghai','Asia/Shanghai'
'Australia/Melbourne','Australia/Perth'
'Australia/Melbourne','Asia/Singapore'
'Australia/Melbourne','Asia/Singapore'
'Australia/Melbourne','Asia/Singapore'
'Australia/Melbourne','Asia/Singapore'
'Australia/Melbourne','Asia/Singapore'
'Australia/Melbourne','Asia/Singapore'
'Australia/Melbourne','Asia/Singapore'
'Australia/Melbourne','Asia/Singapore'
'Australia/Melbourne','Asia/Singapore'
'Australia/Melbourne','Asia/Bangkok'
'Pacific/Guam','Asia/Seoul'
'Pacific/Guam','Asia/Seoul'
'Pacific/Guam','Asia/Seoul'
'Pacific/Guam','Asia/Seoul'
'Pacific/Auckland','Pacific/Auckland'
'Pacific/Auckland','Pacific/Auckland'
'Pacific/Auckland','Pacific/Auckland'
'Asia/Shanghai','Asia/Ho_Chi_Minh'
'Asia/Shanghai','Asia/Ho_Chi_Minh'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Vientiane','Asia/Seoul'
'Asia/Shanghai','Asia/Bangkok'
'Pacific/Auckland','Australia/Sydney'
'Pacific/Auckland','Australia/Melbourne'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Macau'
'Europe/Oslo','Africa/Cairo'
'Asia/Qatar','Europe/Oslo'
'Asia/Qatar','Europe/Oslo'
'Asia/Qatar','Europe/Oslo'
'Asia/Qatar','Europe/Oslo'
'Asia/Qatar','Europe/Oslo'
'Asia/Qatar','Europe/Oslo'
'Europe/Berlin','Europe/Helsinki'
'Europe/Zurich','Europe/Helsinki'
'America/Anchorage','America/Los_Angeles'
'America/Anchorage','America/Los_Angeles'
'Asia/Singapore','Asia/Makassar'
'Asia/Singapore','Asia/Makassar'
'Asia/Singapore','Asia/Makassar'
'Asia/Singapore','Asia/Makassar'
'Asia/Singapore','Asia/Makassar'
'Australia/Melbourne','Asia/Makassar'
'Australia/Melbourne','Asia/Makassar'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
'America/Chicago','America/Chicago'
'America/Los_Angeles','America/Chicago'
'America/Los_Angeles','America/Chicago'
'Asia/Baku','Asia/Baku'
'Europe/Berlin','Europe/Lisbon'
'America/Moncton','America/Montreal'
'America/Moncton','America/Montreal'
'Europe/Vienna','Europe/Skopje'
'Europe/Vienna','Europe/Skopje'
'Europe/Vienna','Europe/Skopje'
'America/Sao_Paulo','America/Sao_Paulo'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'America/Sao_Paulo','America/Maceio'
'Asia/Singapore','Asia/Makassar'
'America/Los_Angeles','America/Denver'
'America/Los_Angeles','Pacific/Honolulu'
'America/Los_Angeles','Pacific/Honolulu'
'America/Los_Angeles','America/Chicago'
'America/Los_Angeles','America/New_York'
'America/Mexico_City','America/Chicago'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
None,'Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Tokyo','Asia/Tokyo'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Dubai','Asia/Kolkata'
'Asia/Dubai','Asia/Kolkata'
'Asia/Karachi','Asia/Muscat'
'Australia/Melbourne','Australia/Brisbane'
'Australia/Brisbane','Australia/Brisbane'
'Europe/Madrid','Europe/Madrid'
'Europe/Madrid','Europe/Madrid'
'Europe/Madrid','Europe/Madrid'
'Europe/Madrid','Europe/Madrid'
'Europe/Madrid','Europe/Rome'
'Asia/Manila','Asia/Manila'
'Asia/Seoul','Asia/Seoul'
'Asia/Shanghai','Asia/Shanghai'
'Australia/Sydney','Pacific/Auckland'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Europe/Paris','Africa/Casablanca'
'Europe/Paris','Africa/Casablanca'
'Europe/Paris','Africa/Casablanca'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Manila','Asia/Seoul'
'Pacific/Auckland','Asia/Kuala_Lumpur'
'Australia/Melbourne','Asia/Bangkok'
'Australia/Melbourne','Asia/Bangkok'
'Australia/Melbourne','Asia/Kuala_Lumpur'
'Australia/Melbourne','Asia/Kuala_Lumpur'
'Australia/Melbourne','Asia/Kuala_Lumpur'
'Australia/Melbourne','Asia/Kuala_Lumpur'
'Australia/Melbourne','Asia/Kuala_Lumpur'
'Australia/Melbourne','Asia/Kuala_Lumpur'
'Pacific/Auckland','Pacific/Rarotonga'
'Pacific/Auckland','Pacific/Rarotonga'
'Pacific/Auckland','Pacific/Rarotonga'
'Asia/Shanghai','Asia/Seoul'
'Asia/Kuching','Asia/Seoul'
'Asia/Kuching','Asia/Seoul'
'Asia/Yerevan','Europe/Moscow'
'Asia/Dubai','Africa/Cairo'
'Australia/Melbourne','Asia/Kuala_Lumpur'
'Australia/Brisbane','Asia/Hong_Kong'
'Australia/Brisbane','Asia/Hong_Kong'
'Australia/Brisbane','Asia/Hong_Kong'
'Australia/Brisbane','Asia/Hong_Kong'
'Australia/Brisbane','Asia/Hong_Kong'
'Australia/Brisbane','Asia/Hong_Kong'
'Asia/Shanghai','Pacific/Auckland'
'Asia/Tokyo','Asia/Kuala_Lumpur'
'Asia/Tokyo','Asia/Jakarta'
'Asia/Hong_Kong','Asia/Tokyo'
'Asia/Brunei','Asia/Tokyo'
'Asia/Singapore','Asia/Manila'
'Asia/Kolkata','Asia/Kuala_Lumpur'
'Pacific/Auckland','Pacific/Auckland'
'Asia/Bangkok','Asia/Shanghai'
'Asia/Jakarta','Asia/Jayapura'
'Australia/Sydney','Australia/Brisbane'
'Pacific/Auckland','Asia/Kuala_Lumpur'
'Asia/Tokyo','Asia/Ho_Chi_Minh'
'Asia/Kolkata','Asia/Ho_Chi_Minh'
'Pacific/Auckland','Pacific/Auckland'
'Asia/Bangkok','Asia/Tokyo'
'Australia/Brisbane','Australia/Brisbane'
'Asia/Singapore','Asia/Shanghai'
'Pacific/Auckland','Pacific/Auckland'
'Asia/Hong_Kong','Asia/Tokyo'
'Asia/Hong_Kong','Asia/Seoul'
'Australia/Sydney','Australia/Melbourne'
'Australia/Sydney','Australia/Melbourne'
'Australia/Sydney','Australia/Melbourne'
'Australia/Sydney','Australia/Melbourne'
'Australia/Sydney','Australia/Melbourne'
'Australia/Sydney','Australia/Melbourne'
'Australia/Sydney','Asia/Makassar'
'Australia/Sydney','Asia/Makassar'
'Asia/Hong_Kong','Asia/Bangkok'
'Asia/Hong_Kong','Asia/Seoul'
'Australia/Perth','Asia/Hong_Kong'
'Asia/Kolkata','Asia/Ho_Chi_Minh'
'Asia/Almaty','Asia/Kolkata'
'Pacific/Auckland','Pacific/Auckland'
'Pacific/Auckland','Pacific/Auckland'
